doc_id,text,platform
305,toby tubol,youtube
306,puros imbestiga namang nananagot punong buwaya naglolokohan karamihan sumasamba pera maari pasok bagyo lindol land slide ibat ibang sakuna kunin sakim pera madamay nako maibalik hustisya magnanakaw,youtube
307,tiangcong bangus,youtube
308,tiangcong bangus,youtube
309,tiangcong bangus,youtube
310,tiangcong bangus,youtube
311,tiangcong bangus,youtube
312,tiangcong bangus,youtube
313,tiangcong bangus,youtube
314,tiangcong bangus,youtube
315,tiangcong bangus,youtube
316,tiangcong bangus,youtube
317,tiangcong bangus,youtube
318,toby magshabu zaldy,youtube
319,mabuti matapang toni tingco laman tindi budgets insertions zaldy gaya ibang tikom bibig,youtube
320,soul conscience guilt soul conscience guilt interconnected concepts soul considered essence person conscience internal moral compass guides soul guilt emotional pain negative feeling arises one acts conscience acting accordance one conscience leads clear conscience violating results guilty conscience powerful motivator seeking change forgiveness soul soul considered essential part person sometimes viewed one moral spiritual conscience conscience internal faculty allows person distinguish right wrong functions moral guide compass soul healthy conscience freedom seared ignored conscience dangerous interpretations guilt guilt emotional psychological response violated one conscience sense right wrong often described painful feeling bad feeling comes knowing thinking done something wrong intensity guilt depend perceived severity wrong action relation others oneself overcoming guilt often involves process seeking forgiveness repenting trying one conscience future statement conscience describes profound lack morality empathy conscience internal sense right wrong absence means someone regard rights feelings others individuals without conscience antisocial manipulative guilt remorse harm cause,youtube
321,attractive karmina beauty brains,youtube
322,starring winged liner,youtube
323,pambansang magnanakaw zaldy,youtube
324,napapansin nililishi issue slater young dumaan tamang proseso binigyang permit dolomite dumaan tamng prosesso nawala basura senador sinacrfice easy target sen villanueva jinggoy davao duterte obvious nepo babies relaxing real culprit abroad tumatawa romualdez still free,youtube
325,anchor babae name hinde criticize anchor tagalog marami pilipino hind ema get english mabuti toby tiangco tagalog sagot babaeng,youtube
326,warrant arrest sen bato dela rosa ombudsman remulla pronouncement icc international criminal court contradicts issuance arrest warrant filipino bato dela rosa icc published press release entry confirming warrant issued dela rosa official icc site listing philippines case mentions warrant former president duterte,youtube
327,wonder zaldy lawyer telling lie liable falsifying statement,youtube
328,pulitiko wla kamag anak mali mali tama panu gagawin nagawa mali alangn namn bulag bulagan,youtube
329,simple umuwi nagsalita totoo power magiging resulta inday magiging presidente,youtube
330,gets bat kaso murder issue dahilan bat daming namatay tuwing babaha,youtube
331,gaya toby magalong kasama nagiimbestiga davao,youtube
332,assets smni npakadali nilang freeze ninakaw mang yaman basura bansa magnanakaw kaban bayan freeze,youtube
333,galing talino carmina keep works,youtube
334,shit show magaling pilipinas palabas,youtube
335,security risk uuwi convenient,youtube
336,point lawyer allegations namang kaso direct kasuhan bilis,youtube
337,ancalerts abscbnnews mahina research team cant even find anomalies tiangco district words tangos river mafigure research team,youtube
338,toby tiangco nong dating teves nagtago ibang bansa tahimik dmo,youtube
339,maybe someone want zaldy come home,youtube
340,president cover cousin due process richest,youtube
341,yes telling truth tiangco cover yayari bansa warrant arrest pinalalabas,youtube
342,zaldy innocence loose,youtube
343,salute tiangco bless,youtube
344,yellow pink needs decide bbm inday hahaha,youtube
345,file one criminal case ask court issue warrant arrest order dfa cancel passport since retained counsel atty rondain already ask rondain willing accept service process civil complaint damages forfeiture assets government files civil case ask atty rondain willing accept service process client bir files civil cases collection taxes tax evasion need criminal tax evasion case filing determination tax liability tax collection case members small 19th congress stella quimbo mannix dalipe nonoy libanan haven testified,youtube
346,lawyer rondain know defending makonsensya whose administration covering romualdez philippines laban karapatan bayan revolution military pnn afp fooled politics,youtube
347,kasuhan obstruction justice abogado zaldy,youtube
348,kapal ruy orendain makapal zaldy,youtube
349,tiba tiba pera lawyer zaldy,youtube
350,apakasinungaling nitong rondain summa cumlaude pagsisinungaling matandang top1 kakahiya anak kakayanin humarap grabee sinungaling,youtube
351,double time gobyerno makipagcoordinate ibang bansa zaldy gamit cia gamit perang nakurakot kaban bayan,youtube
352,zaldy turo tulad discaya gumalaw,youtube
353,corrupt politicians killed lot second hand smoke pwede second hand homicide sobrang gahaman marami namatay pagkagahaman,youtube
354,resign innocent charges thrown action apparently says back home,youtube
355,agree,youtube
356,kaufman mean toby tiangco delaying tactics technicality overwhelming evidence documents pinpointed directly connected aside witnesses,youtube
357,fugitive running away evading law,youtube
358,fairness magaling matalino abogado zaldy pamahalaan umuusig zaldy gumawa pamahalaan paraan abot naaayon batas napakaraming ahensya hawak gobyerno gamitin mapatunayan kasalanan zaldy kailangan mapauwi interest administration panagutin zaldy mangyayari papaikutin kaso hanggang mgtagal husto,youtube
359,karmina constatino bias interviewer kitang kita bata marcos romualdez dahilan,youtube
360,kaladkarin pauwe ayaw,youtube
361,straight forward answer guilty face problem run away way put stop accusations,youtube
362,natatakot saldy umuwi baka ipagurgur makapagsasabi katotohanan kasagwat,youtube
363,pati kapatid zaldy guilty,youtube
364,nmn palusot abogado cocomelon pagtanggol kapalit million bayad sinungalingan gagawin makasuhan,youtube
365,baka takot ipapatay bbm romualdez kya ayw umuwi bka matulad ninoy assacinate pgkababa eroplano,youtube
366,tobby tiangco dds minion gustong sirain gobyerno pbbm,youtube
